listing_id,city,neighborhood,room_type,price,median_neighborhood_price,price_gap_pct,occupancy_rate,occupancy_rank_percentile,amenity_score,review_rank_percentile,competitive_score,peak_month,peak_occupancy_rate
886369975315237080,nashville,District 19,entire home/apt,141,173,-18.5,0.2556,39.75,57.29,7.59,44.72,8,0.3282
556337653530806747,nashville,District 7,entire home/apt,130,129,0.78,0.4778,58.16,62.2,48.72,54.13,8,0.3738
1102988756155336546,nashville,District 5,entire home/apt,401,160,150.63,0.3556,52.99,82.95,34.59,39.98,12,0.3243
18548210,nashville,District 6,entire home/apt,64,147,-56.46,0.9778,97.77,35.96,85.24,79.85,12,0.3585
48132326,nashville,District 20,entire home/apt,113,148,-23.65,0.4333,54.84,58.67,59.11,62.51,8,0.3475
53690426,nashville,District 8,entire home/apt,101,146,-30.82,0.4,53.03,46.6,60.13,61.54,12,0.3228
1257941409344025697,nashville,District 5,entire home/apt,120,160,-25,0.8111,87.98,35.23,20.43,54.01,12,0.3243
32284340,nashville,District 17,entire home/apt,76,172,-55.81,0.4778,64.34,23.71,36.43,57.9,12,0.3042
814552655038522905,nashville,District 2,entire home/apt,147,198,-25.76,1,99.37,56.63,83.14,77.54,8,0.2505
1440618230326061243,nashville,District 19,entire home/apt,105,173,-39.31,0.2,32.04,50,10.28,48.27,8,0.3282
1107605818669710648,nashville,District 31,entire home/apt,166,138,20.29,0.0111,1.62,42.42,25.92,26.32,8,0.3576
1056678219679017531,nashville,District 17,entire home/apt,208,172,20.93,0.5,66.12,47.42,44.36,44.89,12,0.3042
1293155342356153571,nashville,District 29,entire home/apt,380,123,208.94,0.9111,91.53,59.46,31.83,41.13,8,0.4788
28458232,nashville,District 16,entire home/apt,373,115,224.35,0.4,48.73,70.42,7.07,29.12,8,0.429
43149502,nashville,District 18,entire home/apt,111,148,-25,0.1111,18.51,52.7,70.36,56.97,12,0.3544
1505624568592316143,nashville,District 19,entire home/apt,68,173,-60.69,0,0,42.71,0,40.68,8,0.3282
45015102,nashville,District 20,entire home/apt,108,148,-27.03,0.4778,58.86,60,74.18,68.42,8,0.3475
1009583589043502210,nashville,District 19,entire home/apt,296,173,71.1,0.8667,91.16,63.54,63.76,50.06,8,0.3282
566079944698863030,nashville,District 14,entire home/apt,95,120,-20.83,0.9222,93.9,27.71,25.8,53.41,8,0.3109
575512333582613275,nashville,District 12,entire home/apt,136,133,2.26,0.3778,42.59,68.66,40.93,50.24,8,0.3846
51881507,nashville,District 13,entire home/apt,200,125,60,0.2222,30.02,64.63,43.37,33,8,0.3706
28509493,nashville,District 13,entire home/apt,118,125,-5.6,0.0444,6.55,76.83,84.5,58.32,8,0.3706
41482843,nashville,District 19,entire home/apt,166,173,-4.05,0.3,45.35,50,56.53,51.92,8,0.3282
27047473,nashville,District 21,entire home/apt,169,160,5.63,0.2,32.87,86.52,87.55,63.4,8,0.3211
823879694871437688,nashville,District 19,entire home/apt,120,173,-30.64,0.1667,27.07,57.29,84.65,65.09,8,0.3282
965353400248263696,nashville,District 9,entire home/apt,141,127,11.02,0.0111,1.56,100,21.03,42.26,12,0.3456
1021065797519433904,nashville,District 21,entire home/apt,219,160,36.88,0.1222,20.91,80.9,60.87,43.56,8,0.3211
642941622823561145,nashville,District 2,entire home/apt,280,198,41.41,0.0333,6.63,55.42,63.57,33.65,8,0.2505
49758606,nashville,District 2,entire home/apt,83,198,-58.08,0.7,81.3,60.24,98.8,86.02,8,0.2505
21785950,nashville,District 5,entire home/apt,127,160,-20.63,0.4222,59.71,42.05,55.91,57.62,12,0.3243
23646000,nashville,District 17,entire home/apt,322,172,87.21,0.6556,77.32,69.07,56.52,46.86,12,0.3042
796328181355400392,nashville,District 2,private room,48,47,2.13,0.7111,82,90.16,14.68,56.97,8,0.2505
32268160,nashville,District 19,entire home/apt,101,173,-41.62,0.2,32.04,41.67,80.59,64.46,8,0.3282
15374069,nashville,District 5,entire home/apt,105,160,-34.38,0.1556,26.54,40.91,34.22,49.4,12,0.3243
1363941100937793974,nashville,District 17,entire home/apt,248,172,44.19,0.5667,71.15,44.33,8.34,29.14,12,0.3042
